id,adult,overview,popularity,release_date,title,vote_average,vote_count,character,actor_name,crew_id,name_genres,keyword_name,tags
111,FALSE,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",11.299673,12/8/1983,Scarface,8,3017,Tony Montana,Al Pacino,1150,"Action, Crime, Drama, Thriller","bitterness, brother sister relationship, capitalism, cocaine, corruption, cuba, cult film, loss of sister, miami, prohibition","Action, Crime, Drama, Thriller, bitterness, brother sister relationship, capitalism, cocaine, corruption, cuba, cult film, loss of sister, miami, prohibition"
112,FALSE,"This fifth Danish Dogme film is about six vulnerable individuals whose lives are interwoven. In a city suburb, a young minister arrives to take up duties at a local church. He is persuaded by his assistant to join an Italian night school class, and he soon becomes the centre of a group of people to whom fate has dealt quite serious blows. Gradually each one in the group manages to overcome his/her predicament and find a happy solution. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal.",5.396508,12/7/2000,Italian for Beginners,6.5,33,JÃ¸rgen Mortensen,Peter Gantzler,1176,"Comedy, Drama, Romance","adult education center, church, copenhagen, daughter, depression, dogme 95, friendship, hairdresser, hotel, italian, language course, mother daughter relationship, priest, venice, waitress, woman director","Comedy, Drama, Romance, adult education center, church, copenhagen, daughter, depression, dogme 95, friendship, hairdresser, hotel, italian, language course, mother daughter relationship, priest, venice, waitress, woman director"
113,FALSE,"This South Korean film takes place on an isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",8.157887,9/19/2003,"Spring, Summer, Fall, Winter... and Spring",7.6,240,Adult Monk,Kim Ki-duk,1188,Drama,"attachment to nature, becoming an adult, buddhism, buddhist monk, child, countryside, cycle, dying and death, isolation, life and death, living together, meditation, mortification, mountain lake, penalty, philosophy, religious education, restart, season, south korea, taskmaster, temple","Drama, attachment to nature, becoming an adult, buddhism, buddhist monk, child, countryside, cycle, dying and death, isolation, life and death, living together, meditation, mortification, mountain lake, penalty, philosophy, religious education, restart, season, south korea, taskmaster, temple"
114,FALSE,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",13.348451,3/23/1990,Pretty Woman,7,1807,Vivian Ward,Julia Roberts,1201,"Comedy, Romance","capitalism, cinderella, expensive restaurant, fire escape, friendship, los angeles, piano, prostitute, sports car, workaholic","Comedy, Romance, capitalism, cinderella, expensive restaurant, fire escape, friendship, los angeles, piano, prostitute, sports car, workaholic"
115,FALSE,"Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",15.952524,3/6/1998,The Big Lebowski,7.8,3001,The Dude,Jeff Bridges,1223,"Comedy, Crime","ashes, bowling, bowling ball, bowling team, carpet, cowboy, dude, heart attack, impregnation, kidnapping, los angeles, lsd, marijuana, millionaire, nihilism, unemployed, vietnam veteran, weeds, white russian","Comedy, Crime, ashes, bowling, bowling ball, bowling team, carpet, cowboy, dude, heart attack, impregnation, kidnapping, los angeles, lsd, marijuana, millionaire, nihilism, unemployed, vietnam veteran, weeds, white russian"
116,FALSE,"Match Point is Woody Allenâ€™s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",9.020372,10/26/2005,Match Point,7.2,1134,Chris Wilton,Jonathan Rhys Meyers,1243,"Crime, Drama, Romance, Thriller","actress, adultery, gold digger, instructor, london england, love, love triangle, lust, river thames, social climbing, tennis, upper class, wealth","Crime, Drama, Romance, Thriller, actress, adultery, gold digger, instructor, london england, love, love triangle, lust, river thames, social climbing, tennis, upper class, wealth"
117,FALSE,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",11.062203,6/2/1987,The Untouchables,7.6,1424,Eliot Ness,Kevin Costner,1150,"Crime, Drama, History, Thriller","1930s, al capone, cutting face while shaving, jury tampering, rooftop chase, rule of law, tax evasion, tough cop, treasury agent, untouchable, white suit","1930s, Crime, Drama, History, Thriller, al capone, cutting face while shaving, jury tampering, rooftop chase, rule of law, tax evasion, tough cop, treasury agent, untouchable, white suit"
118,FALSE,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",22.038405,7/13/2005,Charlie and the Chocolate Factory,6.7,3759,Willy Wonka,Johnny Depp,510,"Adventure, Comedy, Family, Fantasy","based on novel, candy, chocolate, factory worker, father son relationship, grandfather grandson relationship, london england, overweight child, parent child relationship, teacher","Adventure, Comedy, Family, Fantasy, based on novel, candy, chocolate, factory worker, father son relationship, grandfather grandson relationship, london england, overweight child, parent child relationship, teacher"
120,FALSE,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,12/18/2001,The Lord of the Rings: The Fellowship of the Ring,8,8892,Frodo Baggins,Elijah Wood,108,"Action, Adventure, Fantasy","based on novel, castle, death of a friend, dwarves, elves, fireworks, hobbit, middle-earth (tolkien), mirror, mountain, orcs, password, sword and sorcery, uncle, volcano, wizard","Action, Adventure, Fantasy, based on novel, castle, death of a friend, dwarves, elves, fireworks, hobbit, middle-earth (tolkien), mirror, mountain, orcs, password, sword and sorcery, uncle, volcano, wizard"
121,FALSE,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,12/18/2002,The Lord of the Rings: The Two Towers,8,7641,Frodo Baggins,Elijah Wood,108,"Action, Adventure, Fantasy","army, attack, based on novel, cave, elves, explosive, fort, guide, hobbit, middle-earth (tolkien), mission, orcs, ring, sword and sorcery, wizard","Action, Adventure, Fantasy, army, attack, based on novel, cave, elves, explosive, fort, guide, hobbit, middle-earth (tolkien), mission, orcs, ring, sword and sorcery, wizard"
122,FALSE,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,12/1/2003,The Lord of the Rings: The Return of the King,8.1,8226,Frodo Baggins,Elijah Wood,108,"Action, Adventure, Fantasy","based on novel, bravery, brutality, elves, end of trilogy, ghost, honor, middle-earth (tolkien), orcs, quest, suspicion, sword and sorcery, troll, violence, war","Action, Adventure, Fantasy, based on novel, bravery, brutality, elves, end of trilogy, ghost, honor, middle-earth (tolkien), orcs, quest, suspicion, sword and sorcery, troll, violence, war"
123,FALSE,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,7.914795,11/15/1978,The Lord of the Rings,6.1,187,Frodo,Christopher Guard,16384,"Adventure, Animation, Drama, Fantasy","dwarves, elves, hobbit, mission","Adventure, Animation, Drama, Fantasy, dwarves, elves, hobbit, mission"
124,FALSE,"Taking place in a 1982 Poland a translator loses her husband and becomes a victim of her own sorrow. She looks to sex, to her son, to law, and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned.",3.256676,6/17/1985,No End,7,5,Ursula Zyro,GraÅ¼yna SzapoÅ‚owska,1126,"Drama, Fantasy","afterlife, court case, dying and death, heart attack, influence, lawyer, new love, war, wife","Drama, Fantasy, afterlife, court case, dying and death, heart attack, influence, lawyer, new love, war, wife"
127,FALSE,Witek runs after a train. Three variations follow on how such a seemingly banal incident could influence the rest of Witek's life.,3.208221,1/10/1987,Blind Chance,7.7,29,Adam,Zbigniew Zapasiewicz,1126,Drama,"airplane, chance, functionary, libya, lodz, political party, student, train, train station","Drama, airplane, chance, functionary, libya, lodz, political party, student, train, train station"
128,FALSE,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,7/12/1997,Princess Mononoke,8.2,2041,Ashitaka,YÅji Matsuda,608,"Adventure, Animation, Fantasy","anime, fight, friendship, good vs evil, iron, pan, princess, rural setting, territory, wild boar, wolf","Adventure, Animation, Fantasy, anime, fight, friendship, good vs evil, iron, pan, princess, rural setting, territory, wild boar, wolf"
129,FALSE,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,7/20/2001,Spirited Away,8.3,3968,Chihiro Ogino,Rumi Hiiragi,608,"Adventure, Animation, Family, Fantasy","amusement park, anime, bath house, darkness, ghost world, japanese mythology, magic, parallel world, parent child relationship, spirits, witch, youkai","Adventure, Animation, Family, Fantasy, amusement park, anime, bath house, darkness, ghost world, japanese mythology, magic, parallel world, parent child relationship, spirits, witch, youkai"
132,FALSE,"This documentary of the Rolling Stones' 1969 US tour has become a legendary, harrowing symbol of the tragic demise of the ""Peace and Love"" era. After a successful tour across the US, the Rolling Stones gave a free December concert at Altamont Speedway in California with the Grateful Dead, Ike and Tina Turner, Jefferson Airplane, and the Flying Burrito Brothers. The band unwisely selected the Hells Angels to provide security, and the bikers resorted to violence to keep the stoned, restless, and often naked crowd in line. The result: dozens of injuries and the on-screen stabbing of a young black man (during ""Sympathy for the Devil"") by one of the concert's staff security. In a manipulative but effective move, the Maysles brothers filmed Mick Jagger in the editing room witnessing the on-camera murder for the first time. The film also works as a rock-and-roll document, capturing the band at their most relaxed, intoxicating, and electrifying.",2.336022,12/6/1970,The Rolling Stones: Gimme Shelter,7.8,42,Himself (as The Rolling Stones),Mick Jagger,1418,"Documentary, Music","concert, hells angels, music, rock musical, rolling stones, shelter, woman director","Documentary, Music, concert, hells angels, music, rock musical, rolling stones, shelter, woman director"
134,FALSE,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",12.434175,8/30/2000,"O Brother, Where Art Thou?",7.3,1144,Ulysses Everett McGill,George Clooney,1223,"Action, Adventure, Comedy","country music, fraud, mississippi, music record, musical, prophecy, seduction, southern usa","Action, Adventure, Comedy, country music, fraud, mississippi, music record, musical, prophecy, seduction, southern usa"
135,FALSE,"In this wildly entertaining vision of one of the twentieth centuryâ€™s greatest artists, Bob Dylan is surrounded by teen fans, gets into heated philosophical jousts with journalists, and kicks back with fellow musicians Joan Baez, Donovan, and Alan Price.",2.676174,5/17/1967,Dont Look Back,7.5,35,Himself,Bob Dylan,21113,"Documentary, Music","bob dylan, cinÃ©ma vÃ©ritÃ©, concert, donovan, england, folk, guitar, musician, pop star, private life, rock, rock star, tour","Documentary, Music, bob dylan, cinÃ©ma vÃ©ritÃ©, concert, donovan, england, folk, guitar, musician, pop star, private life, rock, rock star, tour"
137,FALSE,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",12.989627,2/11/1993,Groundhog Day,7.4,2358,Phil Connors,Bill Murray,1524,"Comedy, Drama, Fantasy, Romance","alarm clock, cult film, deja vu, existentialism, groundhog, groundhog day, pennsylvania, telecaster, time loop, time warp, weather forecast, winter","Comedy, Drama, Fantasy, Romance, alarm clock, cult film, deja vu, existentialism, groundhog, groundhog day, pennsylvania, telecaster, time loop, time warp, weather forecast, winter"
138,FALSE,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,7.503126,2/12/1931,Dracula,7.2,254,Dracula,Bela Lugosi,1496,Horror,"based on novel, based on play or musical, castle, classic horror, count, dracula, lunatic, monster, sanitarium, spider, transylvania, undead, vampire","Horror, based on novel, based on play or musical, castle, classic horror, count, dracula, lunatic, monster, sanitarium, spider, transylvania, undead, vampire"
139,FALSE,"Kresten, newly wed, is on the threshold of a great career success in his father-in-lawÂ´s company. But when the death of his own father takes him back to his poverty-stricken childhood home, far out in the country, his career plans fall apart. For one thing he has to deal with his loveable, backward brother, who is now all alone; for another, he meets a stunning woman who comes to the farm as a housekeeper, in disguise of her real profession as a call-girl.",2.539346,3/12/1999,Mifune,6.8,16,Kresten,Anders W. Berthelsen,1558,"Comedy, Drama, Romance","boarding school, callgirl, copenhagen, countryside, denmark, disabled, dogma, dogme 95, drowning, funeral, housekeeper, manager, mentally disabled, prostitute, rape, upper class","Comedy, Drama, Romance, boarding school, callgirl, copenhagen, countryside, denmark, disabled, dogma, dogme 95, drowning, funeral, housekeeper, manager, mentally disabled, prostitute, rape, upper class"
140,FALSE,"Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death.",7.66414,3/19/2004,Bad Education,7.1,223,Ãngel/Juan/Zahara,Gael GarcÃ­a Bernal,309,"Crime, Drama, Romance, Thriller","boarding school, catholicism, drug abuse, film business, friendship, gay, individual, madrid, priest, screenplay, sexual abuse, sexual identity, spain, teacher, transsexuality, transvestism","Crime, Drama, Romance, Thriller, boarding school, catholicism, drug abuse, film business, friendship, gay, individual, madrid, priest, screenplay, sexual abuse, sexual identity, spain, teacher, transsexuality, transvestism"
141,FALSE,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",18.303148,1/18/2001,Donnie Darko,7.7,3574,Donnie Darko,Jake Gyllenhaal,1577,"Drama, Fantasy, Mystery","airplane, morality, parent child relationship, school performance, school presentation, suburbia, teenager, time travel, vision","Drama, Fantasy, Mystery, airplane, morality, parent child relationship, school performance, school presentation, suburbia, teenager, time travel, vision"
142,FALSE,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of â€™63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,11.787044,9/2/2005,Brokeback Mountain,7.5,1531,Ennis Del Mar,Heath Ledger,1614,"Drama, Romance","countryside, cowboy, daughter, father murder, gay, homophobia, horseback riding, intolerance, loss of lover, marriage crisis, rodeo, secret love, star crossed lovers, wyoming","Drama, Romance, countryside, cowboy, daughter, father murder, gay, homophobia, horseback riding, intolerance, loss of lover, marriage crisis, rodeo, secret love, star crossed lovers, wyoming"
143,FALSE,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.",15.235056,4/29/1930,All Quiet on the Western Front,7.5,166,Paul,Lew Ayres,2000,"Drama, War","army, battlefield, battlefield trauma, boot camp, combat, disillusion, germany, steel helmet, trenches, warfare, world war i, young soldier","Drama, War, army, battlefield, battlefield trauma, boot camp, combat, disillusion, germany, steel helmet, trenches, warfare, world war i, young soldier"
144,FALSE,Wings of Desire is Wim Wenderâ€™s artistically beautiful film about the lonely and immortal life of angels during a post-war Berlin. Itâ€™s a poetic journey from the perspective of the angels of which one falls in love with a living woman and wants to become a mortal human thus giving up his heavenly life. Filmed in black and white and with a feeling of celebrating life.,6.357321,1/1/1987,Wings of Desire,7.5,256,Damiel,Bruno Ganz,2303,"Drama, Fantasy, Romance","angel, berlin, berlin wall, circus, dream, immortality, library, mortality","Drama, Fantasy, Romance, angel, berlin, berlin wall, circus, dream, immortality, library, mortality"
145,FALSE,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.",8.558688,5/13/1996,Breaking the Waves,7.2,213,Bess McNeill,Emily Watson,42,"Drama, Romance","authority, church, disabled, dying and death, excommunication, faith, god, independent film, mother daughter relationship, oil platform, paraplegic, prayer, priest, prostitute, scotland, social coercions, society, tradition, underdog, world religion","Drama, Romance, authority, church, disabled, dying and death, excommunication, faith, god, independent film, mother daughter relationship, oil platform, paraplegic, prayer, priest, prostitute, scotland, social coercions, society, tradition, underdog, world religion"
146,FALSE,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",19.944953,10/1/2000,"Crouching Tiger, Hidden Dragon",7.2,949,Master Li Mu Bai,Chow Yun-fat,1614,"Action, Adventure, Drama, Romance","comb, desert thief, female martial artist, flying, martial arts, taskmaster, theft, tiger","Action, Adventure, Drama, Romance, comb, desert thief, female martial artist, flying, martial arts, taskmaster, theft, tiger"
147,FALSE,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",7.268688,5/4/1959,The 400 Blows,8,363,Antoine Doinel,Jean-Pierre LÃ©aud,1650,Drama,"fingerprinting, fondling, independent film, mise en scene, montmartre paris, nouvelle vague, skipping school, strict teacher, Â mugshot","Drama, fingerprinting, fondling, independent film, mise en scene, montmartre paris, mugshot, nouvelle vague, skipping school, strict teacher"
148,FALSE,A touching story of a deaf girl who is sent to an oil rig to take care of a man who has been blinded in a terrible accident. The girl has a special ability to communicate with the men on board and especially with her patient as they share intimate moments together that will change their lives forever.,12.775583,12/15/2005,The Secret Life of Words,6.8,52,Hanna,Sarah Polley,90,"Drama, Romance","depression, dubrovnik, dying and death, factory, factory worker, hearing impaired, loss of lover, nurse, oil platform, torture, war crimes, woman director, yugoslavia","Drama, Romance, depression, dubrovnik, dying and death, factory, factory worker, hearing impaired, loss of lover, nurse, oil platform, torture, war crimes, woman director, yugoslavia"
149,FALSE,"Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.",10.888917,7/16/1988,Akira,7.8,792,ShÃ´tarÃ´ Kaneda,Mitsuo Iwata,185,"Animation, Science Fiction","anime, army, atomic bomb, cyberpunk, dystopia, experiment, general, megacity, motorcycle gang, mutation, saving the world, stadium, street gang, total destruction, underground","Animation, Science Fiction, anime, army, atomic bomb, cyberpunk, dystopia, experiment, general, megacity, motorcycle gang, mutation, saving the world, stadium, street gang, total destruction, underground"
150,FALSE,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",15.297121,12/7/1982,48 Hrs.,6.5,364,Jack Cates,Nick Nolte,1723,"Action, Comedy, Crime, Drama, Thriller","bowie knife, convict, fake fight, prison, tough cop","Action, Comedy, Crime, Drama, Thriller, bowie knife, convict, fake fight, prison, tough cop"
152,FALSE,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",8.277765,12/6/1979,Star Trek: The Motion Picture,6.2,541,Captain James T. Kirk,William Shatner,1744,"Adventure, Mystery, Science Fiction","artificial intelligence, klingon, san francisco, self sacrifice, space opera, spacecraft, starfleet, uss enterprise, vulcan","Adventure, Mystery, Science Fiction, artificial intelligence, klingon, san francisco, self sacrifice, space opera, spacecraft, starfleet, uss enterprise, vulcan"
153,FALSE,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",11.609441,8/31/2003,Lost in Translation,7.3,1943,Bob Harris,Bill Murray,1769,Drama,"aftercreditsstinger, age difference, commercial, culture clash, homesickness, hotel room, jet lag, karaoke, pop star, unsociability, upper class, woman director","Drama, aftercreditsstinger, age difference, commercial, culture clash, homesickness, hotel room, jet lag, karaoke, pop star, unsociability, upper class, woman director"
154,FALSE,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,7.160236,6/3/1982,Star Trek II: The Wrath of Khan,7.3,688,Admiral James T. Kirk,William Shatner,1788,"Action, Adventure, Science Fiction, Thriller","asteroid, cadet, ceti alpha v, genesis, genetics, midlife crisis, radiation, self sacrifice, simulator, space opera, terraforming, uss enterprise, uss reliant","Action, Adventure, Science Fiction, Thriller, asteroid, cadet, ceti alpha v, genesis, genetics, midlife crisis, radiation, self sacrifice, simulator, space opera, terraforming, uss enterprise, uss reliant"
155,FALSE,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,7/16/2008,The Dark Knight,8.3,12269,Bruce Wayne / Batman,Christian Bale,525,"Action, Crime, Drama, Thriller","based on comic, batman, chaos, crime fighter, criminal mastermind, dc comics, district attorney, gotham city, imax, joker, organized crime, sadism, scarecrow, secret identity, super powers, super villain, superhero, tragic hero, vigilante","Action, Crime, Drama, Thriller, based on comic, batman, chaos, crime fighter, criminal mastermind, dc comics, district attorney, gotham city, imax, joker, organized crime, sadism, scarecrow, secret identity, super powers, super villain, superhero, tragic hero, vigilante"
156,FALSE,"The strange comedy film of two close brothers; one, Wilbur, who wants to kill himself, and the other, Harbour, who tries to prevent this. When their father dies leaving them his bookstore they meet a woman who makes their lives a bit better yet with a bit more trouble as well.",2.651412,11/8/2002,Wilbur Wants to Kill Himself,6.8,25,Wilbur,Jamie Sives,1176,"Comedy, Drama, Romance","bookshop, brother brother relationship, cancer, cleaning lady, dead wish, depression, dying and death, glasgow, hospital, irony, love triangle, optimism, psychiatrist, single, suicide, suicide attempt, unsociability, woman director","Comedy, Drama, Romance, bookshop, brother brother relationship, cancer, cleaning lady, dead wish, depression, dying and death, glasgow, hospital, irony, love triangle, optimism, psychiatrist, single, suicide, suicide attempt, unsociability, woman director"
159,FALSE,"Der Bewegte Mann is a German comedy about a heterosexual man, Axel, who is thrown out of his girlfriends home for cheating and ends up moving in with a gay man. Axel learns the advantages of living with gay men even though they are attracted to him and when his girlfriend wants him back he must make a tough decision.",8.593319,10/5/1994,Maybe... Maybe Not,6.1,34,Axel Feldheim,Til Schweiger,1869,"Comedy, Drama","cologne, diashow, drag queen, friendship, gay, heterosexual, infidelity, male nudity, sexual identity, support group, transvestism, waitress","Comedy, Drama, cologne, diashow, drag queen, friendship, gay, heterosexual, infidelity, male nudity, sexual identity, support group, transvestism, waitress"
161,FALSE,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",12.114932,12/7/2001,Ocean's Eleven,7.2,3857,Danny Ocean,George Clooney,1884,"Crime, Thriller","atlantic city, black and white scene, card dealer, cockney accent, con artist, explosives expert, las vegas, male, pickpocket, prison, salt lake city utah, strip club","Crime, Thriller, atlantic city, black and white scene, card dealer, cockney accent, con artist, explosives expert, las vegas, male, pickpocket, prison, salt lake city utah, strip club"
162,FALSE,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,17.612244,12/5/1990,Edward Scissorhands,7.5,3731,Edward Scissorhands,Johnny Depp,510,"Drama, Fantasy, Romance","burglar, hairdresser, inventor, love at first sight, scissors, small town, underdog, unsociability","Drama, Fantasy, Romance, burglar, hairdresser, inventor, love at first sight, scissors, small town, underdog, unsociability"
163,FALSE,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam â€“ but a Europol agent is hot on their heels.",11.869347,12/9/2004,Ocean's Twelve,6.4,2169,Danny Ocean,George Clooney,1884,"Crime, Thriller","dutch eastindian company, fabergÃ© egg, golden egg, goon, part, second, sequel","Crime, Thriller, dutch eastindian company, fabergÃ© egg, golden egg, goon, part, second, sequel"
164,FALSE,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",10.879289,10/5/1961,Breakfast at Tiffany's,7.6,1082,Holly Golightly,Audrey Hepburn,1927,"Comedy, Drama, Romance","age difference, broken engagement, cat, celebration, fire escape, jewelry, loss of brother, love of one's life, millionaire, neighbor, store window","Comedy, Drama, Romance, age difference, broken engagement, cat, celebration, fire escape, jewelry, loss of brother, love of one's life, millionaire, neighbor, store window"
165,FALSE,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",13.689855,11/20/1989,Back to the Future Part II,7.4,3926,Marty McFly Sr. / Marty McFly Jr. / Marlene McFly,Michael J. Fox,24,"Adventure, Comedy, Family, Science Fiction","almanac, alternate history, car race, delorean, diner, electric guitar, flying car, high school dance, hoverboard, inventor, lightning, sequel, skateboarding, teenager, time travel, video phone, walking cane","Adventure, Comedy, Family, Science Fiction, almanac, alternate history, car race, delorean, diner, electric guitar, flying car, high school dance, hoverboard, inventor, lightning, sequel, skateboarding, teenager, time travel, video phone, walking cane"
166,FALSE,"Le Boum is the story of a 13-year-old French girl dealing with moving to a new city and school in Paris, while at the same time her parents are getting a divorce.",12.105748,1/1/1980,The Party,6.4,225,FranÃ§ois Beretton,Claude Brasseur,1961,"Comedy, Drama, Romance","adultery, celebration, dancing, date, daughter, mother daughter relationship, paris, puberty, teenage crush, youth","Comedy, Drama, Romance, adultery, celebration, dancing, date, daughter, mother daughter relationship, paris, puberty, teenage crush, youth"
167,FALSE,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",12.400152,10/22/2001,K-PAX,7.1,710,Dr. Mark Powell,Jeff Bridges,1978,"Drama, Science Fiction","alien, claim, doubt, dream, help, hospital, hypnosis, investigation, medication, mental, murder, patient, planet, psychiatrist, robbery, science","Drama, Science Fiction, alien, claim, doubt, dream, help, hospital, hypnosis, investigation, medication, mental, murder, patient, planet, psychiatrist, robbery, science"
168,FALSE,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",12.596956,11/25/1986,Star Trek IV: The Voyage Home,6.9,490,Admiral/Captain James T. Kirk,William Shatner,1749,"Adventure, Science Fiction","marine biologist, san francisco, saving the world, space opera, time travel, uss enterprise-a, vulcan, whale","Adventure, Science Fiction, marine biologist, san francisco, saving the world, space opera, time travel, uss enterprise-a, vulcan, whale"
